Datum von;Datum bis;Netzlast [MWh] Originalauflösungen;Netzlast inkl. Pumpspeicher [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen
02.09.2025 13:30;02.09.2025 13:45;14.960,25;15.752,25;792,00;5.157,00
02.09.2025 13:45;02.09.2025 14:00;14.950,50;15.737,75;787,25;5.123,00
02.09.2025 14:00;02.09.2025 14:15;14.786,50;15.572,25;785,75;4.855,50
02.09.2025 14:15;02.09.2025 14:30;14.627,25;15.473,00;845,75;4.702,25
02.09.2025 14:30;02.09.2025 14:45;14.530,25;15.429,75;899,50;4.547,75
02.09.2025 14:45;02.09.2025 15:00;14.547,00;15.348,75;801,75;4.633,25
02.09.2025 15:00;02.09.2025 15:15;14.612,75;15.491,75;879,00;4.832,75
02.09.2025 15:15;02.09.2025 15:30;14.580,50;15.458,50;878,00;4.958,25
02.09.2025 15:30;02.09.2025 15:45;14.586,75;15.354,00;767,25;5.192,00
02.09.2025 15:45;02.09.2025 16:00;14.532,25;15.236,00;703,75;5.446,25
02.09.2025 16:00;02.09.2025 16:15;14.353,25;15.083,75;730,50;5.576,50
02.09.2025 16:15;02.09.2025 16:30;14.236,75;14.903,75;667,00;5.770,00
02.09.2025 16:30;02.09.2025 16:45;14.185,25;14.695,50;510,25;6.109,75
02.09.2025 16:45;02.09.2025 17:00;14.341,50;14.734,00;392,50;6.688,50
02.09.2025 17:00;02.09.2025 17:15;14.439,00;14.849,50;410,50;7.352,25
02.09.2025 17:15;02.09.2025 17:30;14.433,75;14.628,00;194,25;7.938,75
02.09.2025 17:30;02.09.2025 17:45;14.564,25;14.678,00;113,75;8.691,00
02.09.2025 17:45;02.09.2025 18:00;14.451,00;14.456,75;5,75;9.178,25
02.09.2025 18:00;02.09.2025 18:15;14.407,50;14.419,25;11,75;9.703,75
02.09.2025 18:15;02.09.2025 18:30;14.398,50;14.441,25;42,75;10.288,25
02.09.2025 18:30;02.09.2025 18:45;14.458,75;14.462,50;3,75;10.974,25
02.09.2025 18:45;02.09.2025 19:00;14.387,25;14.388,25;1,00;11.459,50
02.09.2025 19:00;02.09.2025 19:15;14.357,75;14.358,75;1,00;11.988,50
02.09.2025 19:15;02.09.2025 19:30;14.289,75;14.290,75;1,00;12.386,00
02.09.2025 19:30;02.09.2025 19:45;14.253,25;14.254,00;0,75;12.604,00
02.09.2025 19:45;02.09.2025 20:00;14.155,50;14.155,50;0,00;12.529,00
02.09.2025 20:00;02.09.2025 20:15;14.085,50;14.085,50;0,00;12.490,00
02.09.2025 20:15;02.09.2025 20:30;14.206,50;14.206,50;0,00;12.667,25
02.09.2025 20:30;02.09.2025 20:45;14.062,50;14.062,50;0,00;12.440,75
02.09.2025 20:45;02.09.2025 21:00;13.769,75;13.769,75;0,00;11.988,00
02.09.2025 21:00;02.09.2025 21:15;13.763,50;13.763,50;0,00;11.808,00
02.09.2025 21:15;02.09.2025 21:30;13.692,50;13.692,50;0,00;11.590,00
02.09.2025 21:30;02.09.2025 21:45;13.363,00;13.363,00;0,00;11.136,25
02.09.2025 21:45;02.09.2025 22:00;13.062,25;13.062,25;0,00;10.683,00
02.09.2025 22:00;02.09.2025 22:15;12.987,00;12.987,00;0,00;10.469,50
02.09.2025 22:15;02.09.2025 22:30;12.881,75;12.885,25;3,50;10.243,25
02.09.2025 22:30;02.09.2025 22:45;12.691,50;12.706,25;14,75;9.944,25
02.09.2025 22:45;02.09.2025 23:00;12.425,75;12.459,75;34,00;9.543,00
02.09.2025 23:00;02.09.2025 23:15;12.249,00;12.273,50;24,50;9.285,50
02.09.2025 23:15;02.09.2025 23:30;12.113,25;12.119,50;6,25;8.919,75
02.09.2025 23:30;02.09.2025 23:45;11.942,00;11.965,75;23,75;8.613,25
