Datum von;Datum bis;Biomasse [MWh] Originalauflösungen;Wasserkraft [MWh] Originalauflösungen;Wind Offshore [MWh] Originalauflösungen;Wind Onshore [MWh] Originalauflösungen;Photovoltaik [MWh] Originalauflösungen;Sonstige Erneuerbare [MWh] Originalauflösungen;Kernenergie [MWh] Originalauflösungen;Braunkohle [MWh] Originalauflösungen;Steinkohle [MWh] Originalauflösungen;Erdgas [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Sonstige Konventionelle [MWh] Originalauflösungen
30.08.2025 19:15;30.08.2025 19:30;942,50;635,75;147,25;903,00;597,00;24,00;-;1.764,00;243,25;1.237,25;1.333,25;353,50
30.08.2025 19:30;30.08.2025 19:45;941,75;638,50;140,75;863,75;309,25;24,00;-;1.763,00;246,75;1.248,25;1.484,75;353,00
30.08.2025 19:45;30.08.2025 20:00;943,75;623,50;144,25;867,00;116,75;24,00;-;1.762,50;249,25;1.262,00;1.425,75;356,75
30.08.2025 20:00;30.08.2025 20:15;945,25;601,00;152,00;887,50;22,00;24,00;-;1.764,00;251,25;1.269,75;1.414,75;358,00
30.08.2025 20:15;30.08.2025 20:30;948,50;612,00;160,00;804,25;1,50;24,00;-;1.761,50;251,50;1.285,00;1.303,25;350,75
30.08.2025 20:30;30.08.2025 20:45;949,25;612,50;166,25;814,75;0,25;24,00;-;1.764,00;251,25;1.286,25;1.326,25;352,25
30.08.2025 20:45;30.08.2025 21:00;952,25;602,50;173,50;888,75;0,25;24,00;-;1.766,00;250,25;1.259,25;1.298,25;351,75
30.08.2025 21:00;30.08.2025 21:15;953,50;593,25;167,50;976,00;0,25;25,25;-;1.760,50;247,25;1.258,75;1.320,50;348,75
30.08.2025 21:15;30.08.2025 21:30;953,50;586,00;175,25;1.081,50;0,25;25,25;-;1.758,25;244,00;1.243,50;1.228,25;352,00
30.08.2025 21:30;30.08.2025 21:45;954,25;563,00;200,25;1.163,50;0,00;25,25;-;1.757,00;237,75;1.234,00;1.041,50;353,00
30.08.2025 21:45;30.08.2025 22:00;956,50;532,50;231,75;1.261,75;0,00;25,25;-;1.766,00;238,50;1.185,25;814,25;353,25
30.08.2025 22:00;30.08.2025 22:15;952,50;532,00;255,00;1.348,25;0,00;25,25;-;1.768,00;229,00;1.184,25;936,75;347,50
30.08.2025 22:15;30.08.2025 22:30;948,00;514,50;291,25;1.478,25;0,00;25,25;-;1.738,25;204,75;1.150,75;763,00;351,50
30.08.2025 22:30;30.08.2025 22:45;948,25;514,75;337,25;1.602,75;0,00;25,25;-;1.697,50;174,50;1.093,00;622,25;360,25
30.08.2025 22:45;30.08.2025 23:00;950,00;515,75;364,25;1.760,50;0,00;25,25;-;1.662,25;151,25;1.037,75;545,25;361,50
30.08.2025 23:00;30.08.2025 23:15;945,75;520,25;415,50;1.851,00;0,00;25,25;-;1.641,25;131,00;995,50;515,75;359,25
30.08.2025 23:15;30.08.2025 23:30;944,25;525,75;475,25;1.913,25;0,00;25,25;-;1.627,50;107,00;978,75;388,50;351,50
30.08.2025 23:30;30.08.2025 23:45;944,75;512,00;539,00;1.982,00;0,00;25,25;-;1.626,50;80,00;934,50;288,50;348,25
30.08.2025 23:45;31.08.2025 00:00;943,75;512,25;602,75;2.053,00;0,00;25,25;-;1.614,00;79,25;902,00;260,75;354,25
31.08.2025 00:00;31.08.2025 00:15;942,50;513,75;659,75;2.114,25;0,00;24,00;-;1.616,50;77,50;807,25;290,00;353,25
31.08.2025 00:15;31.08.2025 00:30;938,50;493,00;735,25;2.164,25;0,00;24,00;-;1.604,75;76,75;761,75;243,50;360,25
31.08.2025 00:30;31.08.2025 00:45;938,00;498,75;768,50;2.210,25;0,00;24,00;-;1.586,25;76,75;747,75;124,00;360,75
31.08.2025 00:45;31.08.2025 01:00;934,50;505,00;757,00;2.275,00;0,00;24,00;-;1.593,50;76,25;736,50;103,50;362,50
31.08.2025 01:00;31.08.2025 01:15;930,25;500,75;766,25;2.358,25;0,00;23,25;-;1.590,50;75,50;684,50;123,50;362,75
31.08.2025 01:15;31.08.2025 01:30;931,25;496,50;775,25;2.435,75;0,00;23,25;-;1.567,50;74,00;630,00;68,00;365,00
31.08.2025 01:30;31.08.2025 01:45;931,25;495,50;791,50;2.498,00;0,00;23,25;-;1.536,75;73,50;613,50;8,00;357,50
31.08.2025 01:45;31.08.2025 02:00;930,25;491,75;822,00;2.589,00;0,00;23,25;-;1.501,75;73,25;616,25;11,50;353,75
31.08.2025 02:00;31.08.2025 02:15;929,50;493,00;873,50;2.627,50;0,00;23,25;-;1.466,25;73,00;615,00;113,00;351,25
31.08.2025 02:15;31.08.2025 02:30;927,75;488,50;935,00;2.662,00;0,00;23,25;-;1.451,00;72,50;636,50;6,25;350,75
31.08.2025 02:30;31.08.2025 02:45;929,00;490,75;972,00;2.706,00;0,00;23,25;-;1.416,00;72,00;621,00;18,25;350,50
31.08.2025 02:45;31.08.2025 03:00;927,00;487,75;1.009,75;2.743,75;0,00;23,25;-;1.359,50;71,75;603,25;4,50;353,50
31.08.2025 03:00;31.08.2025 03:15;928,00;487,25;1.016,75;2.778,25;0,00;23,25;-;1.216,25;72,50;626,75;24,25;348,50
31.08.2025 03:15;31.08.2025 03:30;926,75;486,50;1.031,25;2.841,75;0,00;23,25;-;1.152,25;71,75;610,00;39,25;352,50
31.08.2025 03:30;31.08.2025 03:45;926,75;485,25;1.048,75;2.866,50;0,00;23,25;-;1.147,50;71,75;608,50;86,75;348,25
31.08.2025 03:45;31.08.2025 04:00;925,25;483,50;1.047,50;2.896,50;0,00;23,25;-;1.137,00;71,75;606,00;22,25;350,75
31.08.2025 04:00;31.08.2025 04:15;928,50;480,75;1.056,25;2.867,25;0,00;23,25;-;1.123,75;71,25;598,00;1,00;351,25
31.08.2025 04:15;31.08.2025 04:30;927,50;485,00;1.065,75;2.877,00;0,00;23,25;-;1.084,50;72,00;594,00;21,50;351,25
31.08.2025 04:30;31.08.2025 04:45;927,00;484,00;1.083,25;2.872,25;0,00;23,25;-;1.074,25;72,25;599,00;31,00;355,75
31.08.2025 04:45;31.08.2025 05:00;921,25;481,25;1.082,00;2.872,50;0,00;23,25;-;1.070,00;72,00;620,50;23,25;358,25
31.08.2025 05:00;31.08.2025 05:15;920,25;483,00;1.087,75;2.868,00;0,00;23,25;-;1.048,75;71,50;621,25;21,00;356,75
31.08.2025 05:15;31.08.2025 05:30;919,00;483,00;1.112,50;2.857,75;0,00;23,25;-;1.038,00;70,00;631,50;29,50;354,00
31.08.2025 05:30;31.08.2025 05:45;921,50;484,50;1.089,50;2.868,25;0,00;23,75;-;1.037,25;70,00;624,00;22,50;346,25
31.08.2025 05:45;31.08.2025 06:00;917,25;489,75;1.031,50;2.839,00;0,00;23,75;-;1.039,25;70,00;633,25;35,00;346,00
31.08.2025 06:00;31.08.2025 06:15;925,75;509,75;940,25;2.846,75;0,25;23,75;-;1.053,75;69,50;642,25;205,25;346,50
31.08.2025 06:15;31.08.2025 06:30;926,50;527,50;954,25;2.836,50;6,25;23,75;-;1.058,00;68,25;645,00;232,50;344,75
31.08.2025 06:30;31.08.2025 06:45;928,00;554,50;986,50;2.888,25;50,25;23,75;-;1.063,25;68,25;642,75;193,25;350,25
31.08.2025 06:45;31.08.2025 07:00;922,00;513,00;987,75;2.947,50;217,75;23,75;-;1.062,75;68,00;646,00;202,25;358,50
31.08.2025 07:00;31.08.2025 07:15;926,25;495,50;1.073,75;2.926,50;499,50;23,75;-;1.062,75;69,00;600,50;69,75;356,50
31.08.2025 07:15;31.08.2025 07:30;924,50;494,50;1.128,75;2.869,50;887,75;23,75;-;1.081,50;69,50;607,25;50,25;359,00
31.08.2025 07:30;31.08.2025 07:45;920,00;481,75;1.049,25;2.830,75;1.392,00;23,75;-;1.035,75;69,25;583,75;1,50;357,75
31.08.2025 07:45;31.08.2025 08:00;918,75;481,25;1.070,50;2.762,25;1.965,25;23,75;-;937,00;69,00;547,75;0,25;365,50
31.08.2025 08:00;31.08.2025 08:15;919,25;494,50;1.079,50;2.663,75;2.578,75;23,75;-;890,25;68,25;492,00;4,00;366,00
31.08.2025 08:15;31.08.2025 08:30;918,25;491,50;979,25;2.489,50;3.241,00;23,75;-;881,00;69,00;444,75;2,25;363,75
