Datum von;Datum bis;Generation_DE A9 [MW] Berechnete Auflösungen;Generation_DE A10 [MW] Berechnete Auflösungen;Generation_DE B9 [MW] Berechnete Auflösungen;Generation_DE B10 [MW] Berechnete Auflösungen
27.08.2025 11:30;27.08.2025 11:45;0,000;-;-;-
27.08.2025 11:45;27.08.2025 12:00;0,000;-;-;-
27.08.2025 12:00;27.08.2025 12:15;0,000;-;-;-
27.08.2025 12:15;27.08.2025 12:30;0,000;-;-;-
27.08.2025 12:30;27.08.2025 12:45;0,000;-;-;-
27.08.2025 12:45;27.08.2025 13:00;0,000;-;-;-
27.08.2025 13:00;27.08.2025 13:15;0,000;-;-;-
27.08.2025 13:15;27.08.2025 13:30;0,000;-;-;-
27.08.2025 13:30;27.08.2025 13:45;0,000;-;-;-
27.08.2025 13:45;27.08.2025 14:00;0,000;-;-;-
27.08.2025 14:00;27.08.2025 14:15;0,000;-;-;-
27.08.2025 14:15;27.08.2025 14:30;0,000;-;-;-
27.08.2025 14:30;27.08.2025 14:45;0,000;-;-;-
27.08.2025 14:45;27.08.2025 15:00;0,000;-;-;-
27.08.2025 15:00;27.08.2025 15:15;0,000;-;-;-
27.08.2025 15:15;27.08.2025 15:30;0,000;-;-;-
27.08.2025 15:30;27.08.2025 15:45;0,000;-;-;-
27.08.2025 15:45;27.08.2025 16:00;0,000;-;-;-
27.08.2025 16:00;27.08.2025 16:15;0,000;-;-;-
27.08.2025 16:15;27.08.2025 16:30;0,000;-;-;-
27.08.2025 16:30;27.08.2025 16:45;0,000;-;-;-
27.08.2025 16:45;27.08.2025 17:00;0,000;-;-;-
27.08.2025 17:00;27.08.2025 17:15;2,250;-;-;-
27.08.2025 17:15;27.08.2025 17:30;2,250;-;-;-
27.08.2025 17:30;27.08.2025 17:45;2,250;-;-;-
27.08.2025 17:45;27.08.2025 18:00;2,250;-;-;-
27.08.2025 18:00;27.08.2025 18:15;51,250;-;-;-
27.08.2025 18:15;27.08.2025 18:30;51,250;-;-;-
27.08.2025 18:30;27.08.2025 18:45;51,250;-;-;-
27.08.2025 18:45;27.08.2025 19:00;51,250;-;-;-
27.08.2025 19:00;27.08.2025 19:15;90,000;-;-;-
27.08.2025 19:15;27.08.2025 19:30;90,000;-;-;-
27.08.2025 19:30;27.08.2025 19:45;90,000;-;-;-
27.08.2025 19:45;27.08.2025 20:00;90,000;-;-;-
27.08.2025 20:00;27.08.2025 20:15;93,750;-;-;-
27.08.2025 20:15;27.08.2025 20:30;93,750;-;-;-
27.08.2025 20:30;27.08.2025 20:45;93,750;-;-;-
27.08.2025 20:45;27.08.2025 21:00;93,750;-;-;-
27.08.2025 21:00;27.08.2025 21:15;89,750;-;-;-
27.08.2025 21:15;27.08.2025 21:30;89,750;-;-;-
27.08.2025 21:30;27.08.2025 21:45;89,750;-;-;-
27.08.2025 21:45;27.08.2025 22:00;89,750;-;-;-
27.08.2025 22:00;27.08.2025 22:15;0,000;-;-;-
27.08.2025 22:15;27.08.2025 22:30;0,000;-;-;-
27.08.2025 22:30;27.08.2025 22:45;0,000;-;-;-
