Datum von;Datum bis;Generation_DE Maschine 1 [MW] Berechnete Auflösungen;Generation_DE Maschine 2 [MW] Berechnete Auflösungen
29.08.2025 05:45;29.08.2025 06:00;4,250;0,000
29.08.2025 06:00;29.08.2025 06:15;15,500;10,750
29.08.2025 06:15;29.08.2025 06:30;15,500;10,750
29.08.2025 06:30;29.08.2025 06:45;15,500;10,750
29.08.2025 06:45;29.08.2025 07:00;15,500;10,750
29.08.2025 07:00;29.08.2025 07:15;52,000;48,750
29.08.2025 07:15;29.08.2025 07:30;52,000;48,750
29.08.2025 07:30;29.08.2025 07:45;52,000;48,750
29.08.2025 07:45;29.08.2025 08:00;52,000;48,750
29.08.2025 08:00;29.08.2025 08:15;26,000;13,750
29.08.2025 08:15;29.08.2025 08:30;26,000;13,750
29.08.2025 08:30;29.08.2025 08:45;26,000;13,750
29.08.2025 08:45;29.08.2025 09:00;26,000;13,750
29.08.2025 09:00;29.08.2025 09:15;5,000;4,250
29.08.2025 09:15;29.08.2025 09:30;5,000;4,250
29.08.2025 09:30;29.08.2025 09:45;5,000;4,250
29.08.2025 09:45;29.08.2025 10:00;5,000;4,250
29.08.2025 10:00;29.08.2025 10:15;13,500;11,500
29.08.2025 10:15;29.08.2025 10:30;13,500;11,500
29.08.2025 10:30;29.08.2025 10:45;13,500;11,500
29.08.2025 10:45;29.08.2025 11:00;13,500;11,500
29.08.2025 11:00;29.08.2025 11:15;4,250;1,250
29.08.2025 11:15;29.08.2025 11:30;4,250;1,250
29.08.2025 11:30;29.08.2025 11:45;4,250;1,250
29.08.2025 11:45;29.08.2025 12:00;4,250;1,250
29.08.2025 12:00;29.08.2025 12:15;0,000;0,000
29.08.2025 12:15;29.08.2025 12:30;0,000;0,000
29.08.2025 12:30;29.08.2025 12:45;0,000;0,000
29.08.2025 12:45;29.08.2025 13:00;0,000;0,000
29.08.2025 13:00;29.08.2025 13:15;30,750;0,000
29.08.2025 13:15;29.08.2025 13:30;30,750;0,000
29.08.2025 13:30;29.08.2025 13:45;30,750;0,000
29.08.2025 13:45;29.08.2025 14:00;30,750;0,000
29.08.2025 14:00;29.08.2025 14:15;0,000;0,000
29.08.2025 14:15;29.08.2025 14:30;0,000;0,000
29.08.2025 14:30;29.08.2025 14:45;0,000;0,000
29.08.2025 14:45;29.08.2025 15:00;0,000;0,000
29.08.2025 15:00;29.08.2025 15:15;9,500;0,000
29.08.2025 15:15;29.08.2025 15:30;9,500;0,000
29.08.2025 15:30;29.08.2025 15:45;9,500;0,000
29.08.2025 15:45;29.08.2025 16:00;9,500;0,000
29.08.2025 16:00;29.08.2025 16:15;5,750;0,000
29.08.2025 16:15;29.08.2025 16:30;5,750;0,000
29.08.2025 16:30;29.08.2025 16:45;5,750;0,000
29.08.2025 16:45;29.08.2025 17:00;5,750;0,000
29.08.2025 17:00;29.08.2025 17:15;4,500;10,250
29.08.2025 17:15;29.08.2025 17:30;4,500;10,250
