Datum von;Datum bis;Generation_DE Block 10 [MW] Berechnete Auflösungen;Generation_DE Block 20 [MW] Berechnete Auflösungen
28.08.2025 13:15;28.08.2025 13:30;101,250;101,750
28.08.2025 13:30;28.08.2025 13:45;101,250;101,750
28.08.2025 13:45;28.08.2025 14:00;101,250;101,750
28.08.2025 14:00;28.08.2025 14:15;86,000;86,250
28.08.2025 14:15;28.08.2025 14:30;86,000;86,250
28.08.2025 14:30;28.08.2025 14:45;86,000;86,250
28.08.2025 14:45;28.08.2025 15:00;86,000;86,250
28.08.2025 15:00;28.08.2025 15:15;88,250;88,500
28.08.2025 15:15;28.08.2025 15:30;88,250;88,500
28.08.2025 15:30;28.08.2025 15:45;88,250;88,500
28.08.2025 15:45;28.08.2025 16:00;88,250;88,500
28.08.2025 16:00;28.08.2025 16:15;94,000;94,000
28.08.2025 16:15;28.08.2025 16:30;94,000;94,000
28.08.2025 16:30;28.08.2025 16:45;94,000;94,000
28.08.2025 16:45;28.08.2025 17:00;94,000;94,000
28.08.2025 17:00;28.08.2025 17:15;101,250;101,250
28.08.2025 17:15;28.08.2025 17:30;101,250;101,250
28.08.2025 17:30;28.08.2025 17:45;101,250;101,250
28.08.2025 17:45;28.08.2025 18:00;101,250;101,250
28.08.2025 18:00;28.08.2025 18:15;104,250;104,250
28.08.2025 18:15;28.08.2025 18:30;104,250;104,250
28.08.2025 18:30;28.08.2025 18:45;104,250;104,250
28.08.2025 18:45;28.08.2025 19:00;104,250;104,250
28.08.2025 19:00;28.08.2025 19:15;104,750;104,750
28.08.2025 19:15;28.08.2025 19:30;104,750;104,750
28.08.2025 19:30;28.08.2025 19:45;104,750;104,750
28.08.2025 19:45;28.08.2025 20:00;104,750;104,750
28.08.2025 20:00;28.08.2025 20:15;105,000;105,000
28.08.2025 20:15;28.08.2025 20:30;105,000;105,000
28.08.2025 20:30;28.08.2025 20:45;105,000;105,000
28.08.2025 20:45;28.08.2025 21:00;105,000;105,000
28.08.2025 21:00;28.08.2025 21:15;105,000;105,000
28.08.2025 21:15;28.08.2025 21:30;105,000;105,000
28.08.2025 21:30;28.08.2025 21:45;105,000;105,000
28.08.2025 21:45;28.08.2025 22:00;105,000;105,000
28.08.2025 22:00;28.08.2025 22:15;105,250;105,250
28.08.2025 22:15;28.08.2025 22:30;105,250;105,250
28.08.2025 22:30;28.08.2025 22:45;105,250;105,250
28.08.2025 22:45;28.08.2025 23:00;105,250;105,250
28.08.2025 23:00;28.08.2025 23:15;105,500;92,750
28.08.2025 23:15;28.08.2025 23:30;105,500;92,750
28.08.2025 23:30;28.08.2025 23:45;105,500;92,750
28.08.2025 23:45;29.08.2025 00:00;105,500;92,750
29.08.2025 00:00;29.08.2025 00:15;105,500;0,000
29.08.2025 00:15;29.08.2025 00:30;105,500;0,000
29.08.2025 00:30;29.08.2025 00:45;105,500;0,000
29.08.2025 00:45;29.08.2025 01:00;105,500;0,000
29.08.2025 01:00;29.08.2025 01:15;105,500;0,000
29.08.2025 01:15;29.08.2025 01:30;105,500;0,000
29.08.2025 01:30;29.08.2025 01:45;105,500;0,000
29.08.2025 01:45;29.08.2025 02:00;105,500;0,000
29.08.2025 02:00;29.08.2025 02:15;13,500;0,000
29.08.2025 02:15;29.08.2025 02:30;13,500;0,000
29.08.2025 02:30;29.08.2025 02:45;13,500;0,000
29.08.2025 02:45;29.08.2025 03:00;13,500;0,000
29.08.2025 03:00;29.08.2025 03:15;0,000;0,000
29.08.2025 03:15;29.08.2025 03:30;0,000;0,000
29.08.2025 03:30;29.08.2025 03:45;0,000;0,000
29.08.2025 03:45;29.08.2025 04:00;0,000;0,000
29.08.2025 04:00;29.08.2025 04:15;0,000;0,000
29.08.2025 04:15;29.08.2025 04:30;0,000;0,000
29.08.2025 04:30;29.08.2025 04:45;0,000;0,000
29.08.2025 04:45;29.08.2025 05:00;0,000;0,000
29.08.2025 05:00;29.08.2025 05:15;0,000;0,000
29.08.2025 05:15;29.08.2025 05:30;0,000;0,000
29.08.2025 05:30;29.08.2025 05:45;0,000;0,000
29.08.2025 05:45;29.08.2025 06:00;0,000;0,000
29.08.2025 06:00;29.08.2025 06:15;0,000;0,000
29.08.2025 06:15;29.08.2025 06:30;0,000;0,000
29.08.2025 06:30;29.08.2025 06:45;0,000;0,000
29.08.2025 06:45;29.08.2025 07:00;0,000;0,000
29.08.2025 07:00;29.08.2025 07:15;0,000;0,000
29.08.2025 07:15;29.08.2025 07:30;0,000;0,000
29.08.2025 07:30;29.08.2025 07:45;0,000;0,000
