Datum von;Datum bis;Generation_DE Maschine 1 [MW] Berechnete Auflösungen;Generation_DE Maschine 2 [MW] Berechnete Auflösungen
29.08.2025 18:15;29.08.2025 18:30;0,500;6,750
29.08.2025 18:30;29.08.2025 18:45;0,500;6,750
29.08.2025 18:45;29.08.2025 19:00;0,500;6,750
29.08.2025 19:00;29.08.2025 19:15;32,250;23,500
29.08.2025 19:15;29.08.2025 19:30;32,250;23,500
29.08.2025 19:30;29.08.2025 19:45;32,250;23,500
29.08.2025 19:45;29.08.2025 20:00;32,250;23,500
29.08.2025 20:00;29.08.2025 20:15;8,250;27,500
29.08.2025 20:15;29.08.2025 20:30;8,250;27,500
29.08.2025 20:30;29.08.2025 20:45;8,250;27,500
29.08.2025 20:45;29.08.2025 21:00;8,250;27,500
29.08.2025 21:00;29.08.2025 21:15;0,000;10,250
29.08.2025 21:15;29.08.2025 21:30;0,000;10,250
29.08.2025 21:30;29.08.2025 21:45;0,000;10,250
29.08.2025 21:45;29.08.2025 22:00;0,000;10,250
29.08.2025 22:00;29.08.2025 22:15;0,000;0,000
29.08.2025 22:15;29.08.2025 22:30;0,000;0,000
29.08.2025 22:30;29.08.2025 22:45;0,000;0,000
29.08.2025 22:45;29.08.2025 23:00;0,000;0,000
29.08.2025 23:00;29.08.2025 23:15;0,000;0,000
29.08.2025 23:15;29.08.2025 23:30;0,000;0,000
29.08.2025 23:30;29.08.2025 23:45;0,000;0,000
29.08.2025 23:45;30.08.2025 00:00;0,000;0,000
30.08.2025 00:00;30.08.2025 00:15;0,000;0,000
30.08.2025 00:15;30.08.2025 00:30;0,000;0,000
30.08.2025 00:30;30.08.2025 00:45;0,000;0,000
30.08.2025 00:45;30.08.2025 01:00;0,000;0,000
30.08.2025 01:00;30.08.2025 01:15;0,000;0,000
30.08.2025 01:15;30.08.2025 01:30;0,000;0,000
30.08.2025 01:30;30.08.2025 01:45;0,000;0,000
30.08.2025 01:45;30.08.2025 02:00;0,000;0,000
30.08.2025 02:00;30.08.2025 02:15;0,000;0,000
30.08.2025 02:15;30.08.2025 02:30;0,000;0,000
30.08.2025 02:30;30.08.2025 02:45;0,000;0,000
30.08.2025 02:45;30.08.2025 03:00;0,000;0,000
30.08.2025 03:00;30.08.2025 03:15;0,000;0,000
30.08.2025 03:15;30.08.2025 03:30;0,000;0,000
30.08.2025 03:30;30.08.2025 03:45;0,000;0,000
30.08.2025 03:45;30.08.2025 04:00;0,000;0,000
30.08.2025 04:00;30.08.2025 04:15;0,000;0,000
30.08.2025 04:15;30.08.2025 04:30;0,000;0,000
30.08.2025 04:30;30.08.2025 04:45;0,000;0,000
30.08.2025 04:45;30.08.2025 05:00;0,000;0,000
30.08.2025 05:00;30.08.2025 05:15;0,000;0,000
30.08.2025 05:15;30.08.2025 05:30;0,000;0,000
30.08.2025 05:30;30.08.2025 05:45;0,000;0,000
30.08.2025 05:45;30.08.2025 06:00;0,000;0,000
30.08.2025 06:00;30.08.2025 06:15;0,000;0,000
30.08.2025 06:15;30.08.2025 06:30;0,000;0,000
30.08.2025 06:30;30.08.2025 06:45;0,000;0,000
30.08.2025 06:45;30.08.2025 07:00;0,000;0,000
30.08.2025 07:00;30.08.2025 07:15;0,000;0,750
30.08.2025 07:15;30.08.2025 07:30;0,000;0,750
30.08.2025 07:30;30.08.2025 07:45;0,000;0,750
30.08.2025 07:45;30.08.2025 08:00;0,000;0,750
30.08.2025 08:00;30.08.2025 08:15;0,000;10,750
30.08.2025 08:15;30.08.2025 08:30;0,000;10,750
30.08.2025 08:30;30.08.2025 08:45;0,000;10,750
30.08.2025 08:45;30.08.2025 09:00;0,000;10,750
30.08.2025 09:00;30.08.2025 09:15;0,000;0,000
30.08.2025 09:15;30.08.2025 09:30;0,000;0,000
30.08.2025 09:30;30.08.2025 09:45;0,000;0,000
30.08.2025 09:45;30.08.2025 10:00;0,000;0,000
30.08.2025 10:00;30.08.2025 10:15;0,000;0,000
30.08.2025 10:15;30.08.2025 10:30;0,000;0,000
30.08.2025 10:30;30.08.2025 10:45;0,000;0,000
30.08.2025 10:45;30.08.2025 11:00;0,000;0,000
30.08.2025 11:00;30.08.2025 11:15;0,000;0,000
30.08.2025 11:15;30.08.2025 11:30;0,000;0,000
30.08.2025 11:30;30.08.2025 11:45;0,000;0,000
30.08.2025 11:45;30.08.2025 12:00;0,000;0,000
30.08.2025 12:00;30.08.2025 12:15;0,000;0,000
