Datum von;Datum bis;Generation_DE GuD Herne [MW] Berechnete Auflösungen
29.08.2025 18:00;29.08.2025 18:15;143,500
29.08.2025 18:15;29.08.2025 18:30;143,500
29.08.2025 18:30;29.08.2025 18:45;143,500
29.08.2025 18:45;29.08.2025 19:00;143,500
29.08.2025 19:00;29.08.2025 19:15;147,250
29.08.2025 19:15;29.08.2025 19:30;147,250
29.08.2025 19:30;29.08.2025 19:45;147,250
29.08.2025 19:45;29.08.2025 20:00;147,250
29.08.2025 20:00;29.08.2025 20:15;147,750
29.08.2025 20:15;29.08.2025 20:30;147,750
29.08.2025 20:30;29.08.2025 20:45;147,750
29.08.2025 20:45;29.08.2025 21:00;147,750
29.08.2025 21:00;29.08.2025 21:15;148,000
29.08.2025 21:15;29.08.2025 21:30;148,000
29.08.2025 21:30;29.08.2025 21:45;148,000
29.08.2025 21:45;29.08.2025 22:00;148,000
29.08.2025 22:00;29.08.2025 22:15;148,000
29.08.2025 22:15;29.08.2025 22:30;148,000
29.08.2025 22:30;29.08.2025 22:45;148,000
29.08.2025 22:45;29.08.2025 23:00;148,000
29.08.2025 23:00;29.08.2025 23:15;148,250
29.08.2025 23:15;29.08.2025 23:30;148,250
29.08.2025 23:30;29.08.2025 23:45;148,250
29.08.2025 23:45;30.08.2025 00:00;148,250
30.08.2025 00:00;30.08.2025 00:15;148,250
30.08.2025 00:15;30.08.2025 00:30;148,250
30.08.2025 00:30;30.08.2025 00:45;148,250
30.08.2025 00:45;30.08.2025 01:00;148,250
30.08.2025 01:00;30.08.2025 01:15;109,000
30.08.2025 01:15;30.08.2025 01:30;109,000
30.08.2025 01:30;30.08.2025 01:45;109,000
30.08.2025 01:45;30.08.2025 02:00;109,000
30.08.2025 02:00;30.08.2025 02:15;105,000
30.08.2025 02:15;30.08.2025 02:30;105,000
30.08.2025 02:30;30.08.2025 02:45;105,000
30.08.2025 02:45;30.08.2025 03:00;105,000
30.08.2025 03:00;30.08.2025 03:15;105,000
30.08.2025 03:15;30.08.2025 03:30;105,000
30.08.2025 03:30;30.08.2025 03:45;105,000
30.08.2025 03:45;30.08.2025 04:00;105,000
30.08.2025 04:00;30.08.2025 04:15;105,000
30.08.2025 04:15;30.08.2025 04:30;105,000
30.08.2025 04:30;30.08.2025 04:45;105,000
30.08.2025 04:45;30.08.2025 05:00;105,000
30.08.2025 05:00;30.08.2025 05:15;105,000
30.08.2025 05:15;30.08.2025 05:30;105,000
30.08.2025 05:30;30.08.2025 05:45;105,000
30.08.2025 05:45;30.08.2025 06:00;105,000
30.08.2025 06:00;30.08.2025 06:15;144,000
30.08.2025 06:15;30.08.2025 06:30;144,000
30.08.2025 06:30;30.08.2025 06:45;144,000
30.08.2025 06:45;30.08.2025 07:00;144,000
30.08.2025 07:00;30.08.2025 07:15;149,000
30.08.2025 07:15;30.08.2025 07:30;149,000
30.08.2025 07:30;30.08.2025 07:45;149,000
30.08.2025 07:45;30.08.2025 08:00;149,000
30.08.2025 08:00;30.08.2025 08:15;140,750
30.08.2025 08:15;30.08.2025 08:30;140,750
30.08.2025 08:30;30.08.2025 08:45;140,750
30.08.2025 08:45;30.08.2025 09:00;140,750
30.08.2025 09:00;30.08.2025 09:15;15,500
30.08.2025 09:15;30.08.2025 09:30;15,500
30.08.2025 09:30;30.08.2025 09:45;15,500
30.08.2025 09:45;30.08.2025 10:00;15,500
30.08.2025 10:00;30.08.2025 10:15;0,000
30.08.2025 10:15;30.08.2025 10:30;0,000
30.08.2025 10:30;30.08.2025 10:45;0,000
30.08.2025 10:45;30.08.2025 11:00;0,000
30.08.2025 11:00;30.08.2025 11:15;0,000
30.08.2025 11:15;30.08.2025 11:30;0,000
30.08.2025 11:30;30.08.2025 11:45;0,000
30.08.2025 11:45;30.08.2025 12:00;0,000
30.08.2025 12:00;30.08.2025 12:15;0,000
30.08.2025 12:15;30.08.2025 12:30;0,000
30.08.2025 12:30;30.08.2025 12:45;0,000
30.08.2025 12:45;30.08.2025 13:00;0,000
30.08.2025 13:00;30.08.2025 13:15;0,000
30.08.2025 13:15;30.08.2025 13:30;0,000
30.08.2025 13:30;30.08.2025 13:45;0,000
30.08.2025 13:45;30.08.2025 14:00;0,000
30.08.2025 14:00;30.08.2025 14:15;0,000
30.08.2025 14:15;30.08.2025 14:30;0,000
30.08.2025 14:30;30.08.2025 14:45;0,000
30.08.2025 14:45;30.08.2025 15:00;0,000
30.08.2025 15:00;30.08.2025 15:15;0,000
30.08.2025 15:15;30.08.2025 15:30;0,000
30.08.2025 15:30;30.08.2025 15:45;0,000
