Datum von;Datum bis;Generation_DE Block R [MW] Berechnete Auflösungen;Generation_DE Block S [MW] Berechnete Auflösungen
27.08.2025 15:45;27.08.2025 16:00;137,250;93,250
27.08.2025 16:00;27.08.2025 16:15;170,500;151,000
27.08.2025 16:15;27.08.2025 16:30;170,500;151,000
27.08.2025 16:30;27.08.2025 16:45;170,500;151,000
27.08.2025 16:45;27.08.2025 17:00;170,500;151,000
27.08.2025 17:00;27.08.2025 17:15;195,500;204,000
27.08.2025 17:15;27.08.2025 17:30;195,500;204,000
27.08.2025 17:30;27.08.2025 17:45;195,500;204,000
27.08.2025 17:45;27.08.2025 18:00;195,500;204,000
27.08.2025 18:00;27.08.2025 18:15;209,500;211,250
27.08.2025 18:15;27.08.2025 18:30;209,500;211,250
27.08.2025 18:30;27.08.2025 18:45;209,500;211,250
27.08.2025 18:45;27.08.2025 19:00;209,500;211,250
27.08.2025 19:00;27.08.2025 19:15;210,750;211,750
27.08.2025 19:15;27.08.2025 19:30;210,750;211,750
27.08.2025 19:30;27.08.2025 19:45;210,750;211,750
27.08.2025 19:45;27.08.2025 20:00;210,750;211,750
27.08.2025 20:00;27.08.2025 20:15;211,750;211,500
27.08.2025 20:15;27.08.2025 20:30;211,750;211,500
27.08.2025 20:30;27.08.2025 20:45;211,750;211,500
27.08.2025 20:45;27.08.2025 21:00;211,750;211,500
27.08.2025 21:00;27.08.2025 21:15;210,250;211,250
27.08.2025 21:15;27.08.2025 21:30;210,250;211,250
27.08.2025 21:30;27.08.2025 21:45;210,250;211,250
27.08.2025 21:45;27.08.2025 22:00;210,250;211,250
27.08.2025 22:00;27.08.2025 22:15;207,250;210,000
27.08.2025 22:15;27.08.2025 22:30;207,250;210,000
27.08.2025 22:30;27.08.2025 22:45;207,250;210,000
27.08.2025 22:45;27.08.2025 23:00;207,250;210,000
27.08.2025 23:00;27.08.2025 23:15;210,000;208,500
27.08.2025 23:15;27.08.2025 23:30;210,000;208,500
27.08.2025 23:30;27.08.2025 23:45;210,000;208,500
27.08.2025 23:45;28.08.2025 00:00;210,000;208,500
28.08.2025 00:00;28.08.2025 00:15;210,250;209,250
28.08.2025 00:15;28.08.2025 00:30;210,250;209,250
28.08.2025 00:30;28.08.2025 00:45;210,250;209,250
28.08.2025 00:45;28.08.2025 01:00;210,250;209,250
28.08.2025 01:00;28.08.2025 01:15;212,500;209,000
28.08.2025 01:15;28.08.2025 01:30;212,500;209,000
28.08.2025 01:30;28.08.2025 01:45;212,500;209,000
28.08.2025 01:45;28.08.2025 02:00;212,500;209,000
28.08.2025 02:00;28.08.2025 02:15;211,000;209,250
28.08.2025 02:15;28.08.2025 02:30;211,000;209,250
28.08.2025 02:30;28.08.2025 02:45;211,000;209,250
28.08.2025 02:45;28.08.2025 03:00;211,000;209,250
28.08.2025 03:00;28.08.2025 03:15;210,250;209,000
28.08.2025 03:15;28.08.2025 03:30;210,250;209,000
28.08.2025 03:30;28.08.2025 03:45;210,250;209,000
28.08.2025 03:45;28.08.2025 04:00;210,250;209,000
28.08.2025 04:00;28.08.2025 04:15;211,500;209,000
28.08.2025 04:15;28.08.2025 04:30;211,500;209,000
28.08.2025 04:30;28.08.2025 04:45;211,500;209,000
28.08.2025 04:45;28.08.2025 05:00;211,500;209,000
28.08.2025 05:00;28.08.2025 05:15;210,500;209,500
28.08.2025 05:15;28.08.2025 05:30;210,500;209,500
28.08.2025 05:30;28.08.2025 05:45;210,500;209,500
28.08.2025 05:45;28.08.2025 06:00;210,500;209,500
28.08.2025 06:00;28.08.2025 06:15;211,500;209,000
28.08.2025 06:15;28.08.2025 06:30;211,500;209,000
28.08.2025 06:30;28.08.2025 06:45;211,500;209,000
28.08.2025 06:45;28.08.2025 07:00;211,500;209,000
28.08.2025 07:00;28.08.2025 07:15;210,000;208,750
28.08.2025 07:15;28.08.2025 07:30;210,000;208,750
28.08.2025 07:30;28.08.2025 07:45;210,000;208,750
28.08.2025 07:45;28.08.2025 08:00;210,000;208,750
28.08.2025 08:00;28.08.2025 08:15;197,000;208,750
28.08.2025 08:15;28.08.2025 08:30;197,000;208,750
28.08.2025 08:30;28.08.2025 08:45;197,000;208,750
28.08.2025 08:45;28.08.2025 09:00;197,000;208,750
28.08.2025 09:00;28.08.2025 09:15;101,500;184,500
28.08.2025 09:15;28.08.2025 09:30;101,500;184,500
28.08.2025 09:30;28.08.2025 09:45;101,500;184,500
28.08.2025 09:45;28.08.2025 10:00;101,500;184,500
28.08.2025 10:00;28.08.2025 10:15;0,250;207,500
28.08.2025 10:15;28.08.2025 10:30;0,250;207,500
28.08.2025 10:30;28.08.2025 10:45;0,250;207,500
28.08.2025 10:45;28.08.2025 11:00;0,250;207,500
28.08.2025 11:00;28.08.2025 11:15;0,250;209,250
28.08.2025 11:15;28.08.2025 11:30;0,250;209,250
28.08.2025 11:30;28.08.2025 11:45;0,250;209,250
28.08.2025 11:45;28.08.2025 12:00;0,250;209,250
28.08.2025 12:00;28.08.2025 12:15;0,250;209,750
28.08.2025 12:15;28.08.2025 12:30;0,250;209,750
28.08.2025 12:30;28.08.2025 12:45;0,250;209,750
28.08.2025 12:45;28.08.2025 13:00;0,250;209,750
28.08.2025 13:00;28.08.2025 13:15;0,250;209,250
28.08.2025 13:15;28.08.2025 13:30;0,250;209,250
28.08.2025 13:30;28.08.2025 13:45;0,250;209,250
28.08.2025 13:45;28.08.2025 14:00;0,250;209,250
28.08.2025 14:00;28.08.2025 14:15;0,250;209,250
28.08.2025 14:15;28.08.2025 14:30;0,250;209,250
28.08.2025 14:30;28.08.2025 14:45;0,250;209,250
28.08.2025 14:45;28.08.2025 15:00;0,250;209,250
28.08.2025 15:00;28.08.2025 15:15;0,250;209,500
28.08.2025 15:15;28.08.2025 15:30;0,250;209,500
28.08.2025 15:30;28.08.2025 15:45;0,250;209,500
28.08.2025 15:45;28.08.2025 16:00;0,250;209,500
28.08.2025 16:00;28.08.2025 16:15;0,250;209,250
28.08.2025 16:15;28.08.2025 16:30;0,250;209,250
28.08.2025 16:30;28.08.2025 16:45;0,250;209,250
28.08.2025 16:45;28.08.2025 17:00;0,250;209,250
28.08.2025 17:00;28.08.2025 17:15;0,250;209,250
28.08.2025 17:15;28.08.2025 17:30;0,250;209,250
28.08.2025 17:30;28.08.2025 17:45;0,250;209,250
28.08.2025 17:45;28.08.2025 18:00;0,250;209,250
28.08.2025 18:00;28.08.2025 18:15;0,250;209,000
28.08.2025 18:15;28.08.2025 18:30;0,250;209,000
28.08.2025 18:30;28.08.2025 18:45;0,250;209,000
28.08.2025 18:45;28.08.2025 19:00;0,250;209,000
28.08.2025 19:00;28.08.2025 19:15;0,250;209,000
28.08.2025 19:15;28.08.2025 19:30;0,250;209,000
28.08.2025 19:30;28.08.2025 19:45;0,250;209,000
28.08.2025 19:45;28.08.2025 20:00;0,250;209,000
28.08.2025 20:00;28.08.2025 20:15;0,250;209,250
28.08.2025 20:15;28.08.2025 20:30;0,250;209,250
28.08.2025 20:30;28.08.2025 20:45;0,250;209,250
28.08.2025 20:45;28.08.2025 21:00;0,250;209,250
28.08.2025 21:00;28.08.2025 21:15;0,250;209,000
28.08.2025 21:15;28.08.2025 21:30;0,250;209,000
28.08.2025 21:30;28.08.2025 21:45;0,250;209,000
28.08.2025 21:45;28.08.2025 22:00;0,250;209,000
28.08.2025 22:00;28.08.2025 22:15;0,250;209,000
28.08.2025 22:15;28.08.2025 22:30;0,250;209,000
28.08.2025 22:30;28.08.2025 22:45;0,250;209,000
28.08.2025 22:45;28.08.2025 23:00;0,250;209,000
28.08.2025 23:00;28.08.2025 23:15;0,250;209,250
28.08.2025 23:15;28.08.2025 23:30;0,250;209,250
28.08.2025 23:30;28.08.2025 23:45;0,250;209,250
28.08.2025 23:45;29.08.2025 00:00;0,250;209,250
29.08.2025 00:00;29.08.2025 00:15;0,250;209,000
29.08.2025 00:15;29.08.2025 00:30;0,250;209,000
29.08.2025 00:30;29.08.2025 00:45;0,250;209,000
29.08.2025 00:45;29.08.2025 01:00;0,250;209,000
29.08.2025 01:00;29.08.2025 01:15;0,250;209,250
29.08.2025 01:15;29.08.2025 01:30;0,250;209,250
29.08.2025 01:30;29.08.2025 01:45;0,250;209,250
29.08.2025 01:45;29.08.2025 02:00;0,250;209,250
29.08.2025 02:00;29.08.2025 02:15;0,250;209,250
29.08.2025 02:15;29.08.2025 02:30;0,250;209,250
29.08.2025 02:30;29.08.2025 02:45;0,250;209,250
29.08.2025 02:45;29.08.2025 03:00;0,250;209,250
29.08.2025 03:00;29.08.2025 03:15;0,250;209,500
29.08.2025 03:15;29.08.2025 03:30;0,250;209,500
29.08.2025 03:30;29.08.2025 03:45;0,250;209,500
29.08.2025 03:45;29.08.2025 04:00;0,250;209,500
29.08.2025 04:00;29.08.2025 04:15;0,250;209,000
29.08.2025 04:15;29.08.2025 04:30;0,250;209,000
29.08.2025 04:30;29.08.2025 04:45;0,250;209,000
29.08.2025 04:45;29.08.2025 05:00;0,250;209,000
29.08.2025 05:00;29.08.2025 05:15;0,250;209,000
29.08.2025 05:15;29.08.2025 05:30;0,250;209,000
29.08.2025 05:30;29.08.2025 05:45;0,250;209,000
29.08.2025 05:45;29.08.2025 06:00;0,250;209,000
29.08.2025 06:00;29.08.2025 06:15;0,250;209,250
29.08.2025 06:15;29.08.2025 06:30;0,250;209,250
29.08.2025 06:30;29.08.2025 06:45;0,250;209,250
29.08.2025 06:45;29.08.2025 07:00;0,250;209,250
29.08.2025 07:00;29.08.2025 07:15;0,250;209,000
29.08.2025 07:15;29.08.2025 07:30;0,250;209,000
29.08.2025 07:30;29.08.2025 07:45;0,250;209,000
29.08.2025 07:45;29.08.2025 08:00;0,250;209,000
29.08.2025 08:00;29.08.2025 08:15;0,250;209,250
29.08.2025 08:15;29.08.2025 08:30;0,250;209,250
29.08.2025 08:30;29.08.2025 08:45;0,250;209,250
29.08.2025 08:45;29.08.2025 09:00;0,250;209,250
29.08.2025 09:00;29.08.2025 09:15;0,250;209,250
29.08.2025 09:15;29.08.2025 09:30;0,250;209,250
29.08.2025 09:30;29.08.2025 09:45;0,250;209,250
29.08.2025 09:45;29.08.2025 10:00;0,250;209,250
29.08.2025 10:00;29.08.2025 10:15;0,250;176,250
29.08.2025 10:15;29.08.2025 10:30;0,250;176,250
29.08.2025 10:30;29.08.2025 10:45;0,250;176,250
29.08.2025 10:45;29.08.2025 11:00;0,250;176,250
29.08.2025 11:00;29.08.2025 11:15;0,250;103,500
29.08.2025 11:15;29.08.2025 11:30;0,250;103,500
29.08.2025 11:30;29.08.2025 11:45;0,250;103,500
29.08.2025 11:45;29.08.2025 12:00;0,250;103,500
29.08.2025 12:00;29.08.2025 12:15;0,250;71,500
29.08.2025 12:15;29.08.2025 12:30;0,250;71,500
29.08.2025 12:30;29.08.2025 12:45;0,250;71,500
29.08.2025 12:45;29.08.2025 13:00;0,250;71,500
29.08.2025 13:00;29.08.2025 13:15;0,250;70,000
29.08.2025 13:15;29.08.2025 13:30;0,250;70,000
29.08.2025 13:30;29.08.2025 13:45;0,250;70,000
29.08.2025 13:45;29.08.2025 14:00;0,250;70,000
29.08.2025 14:00;29.08.2025 14:15;0,250;74,000
29.08.2025 14:15;29.08.2025 14:30;0,250;74,000
29.08.2025 14:30;29.08.2025 14:45;0,250;74,000
29.08.2025 14:45;29.08.2025 15:00;0,250;74,000
29.08.2025 15:00;29.08.2025 15:15;0,250;115,250
29.08.2025 15:15;29.08.2025 15:30;0,250;115,250
29.08.2025 15:30;29.08.2025 15:45;0,250;115,250
29.08.2025 15:45;29.08.2025 16:00;0,250;115,250
29.08.2025 16:00;29.08.2025 16:15;0,250;181,000
29.08.2025 16:15;29.08.2025 16:30;0,250;181,000
29.08.2025 16:30;29.08.2025 16:45;0,250;181,000
29.08.2025 16:45;29.08.2025 17:00;0,250;181,000
29.08.2025 17:00;29.08.2025 17:15;0,250;198,250
29.08.2025 17:15;29.08.2025 17:30;0,250;198,250
29.08.2025 17:30;29.08.2025 17:45;0,250;198,250
29.08.2025 17:45;29.08.2025 18:00;0,250;198,250
29.08.2025 18:00;29.08.2025 18:15;0,250;199,750
29.08.2025 18:15;29.08.2025 18:30;0,250;199,750
29.08.2025 18:30;29.08.2025 18:45;0,250;199,750
29.08.2025 18:45;29.08.2025 19:00;0,250;199,750
29.08.2025 19:00;29.08.2025 19:15;0,250;199,500
29.08.2025 19:15;29.08.2025 19:30;0,250;199,500
29.08.2025 19:30;29.08.2025 19:45;0,250;199,500
29.08.2025 19:45;29.08.2025 20:00;0,250;199,500
29.08.2025 20:00;29.08.2025 20:15;0,250;199,000
29.08.2025 20:15;29.08.2025 20:30;0,250;199,000
29.08.2025 20:30;29.08.2025 20:45;0,250;199,000
29.08.2025 20:45;29.08.2025 21:00;0,250;199,000
29.08.2025 21:00;29.08.2025 21:15;0,250;198,750
29.08.2025 21:15;29.08.2025 21:30;0,250;198,750
29.08.2025 21:30;29.08.2025 21:45;0,250;198,750
29.08.2025 21:45;29.08.2025 22:00;0,250;198,750
29.08.2025 22:00;29.08.2025 22:15;0,250;199,750
