Datum von;Datum bis;Generation_DE Block 7 [MW] Berechnete Auflösungen;Generation_DE Block 8 [MW] Berechnete Auflösungen;Generation_DE Block 8 Wasserturbine [MW] Berechnete Auflösungen;Generation_DE Block 4S GT [MW] Berechnete Auflösungen;Generation_DE Block 4S DT [MW] Berechnete Auflösungen
27.08.2025 22:00;27.08.2025 22:15;-;199,750;-;-;-
27.08.2025 22:15;27.08.2025 22:30;-;199,750;-;-;-
27.08.2025 22:30;27.08.2025 22:45;-;199,750;-;-;-
27.08.2025 22:45;27.08.2025 23:00;-;199,750;-;-;-
27.08.2025 23:00;27.08.2025 23:15;-;200,000;-;-;-
27.08.2025 23:15;27.08.2025 23:30;-;200,000;-;-;-
27.08.2025 23:30;27.08.2025 23:45;-;200,000;-;-;-
27.08.2025 23:45;28.08.2025 00:00;-;200,000;-;-;-
28.08.2025 00:00;28.08.2025 00:15;-;200,250;-;-;-
28.08.2025 00:15;28.08.2025 00:30;-;200,250;-;-;-
28.08.2025 00:30;28.08.2025 00:45;-;200,250;-;-;-
28.08.2025 00:45;28.08.2025 01:00;-;200,250;-;-;-
28.08.2025 01:00;28.08.2025 01:15;-;200,250;-;-;-
28.08.2025 01:15;28.08.2025 01:30;-;200,250;-;-;-
28.08.2025 01:30;28.08.2025 01:45;-;200,250;-;-;-
28.08.2025 01:45;28.08.2025 02:00;-;200,250;-;-;-
28.08.2025 02:00;28.08.2025 02:15;-;200,000;-;-;-
28.08.2025 02:15;28.08.2025 02:30;-;200,000;-;-;-
28.08.2025 02:30;28.08.2025 02:45;-;200,000;-;-;-
28.08.2025 02:45;28.08.2025 03:00;-;200,000;-;-;-
28.08.2025 03:00;28.08.2025 03:15;-;200,000;-;-;-
28.08.2025 03:15;28.08.2025 03:30;-;200,000;-;-;-
28.08.2025 03:30;28.08.2025 03:45;-;200,000;-;-;-
28.08.2025 03:45;28.08.2025 04:00;-;200,000;-;-;-
28.08.2025 04:00;28.08.2025 04:15;-;200,000;-;-;-
28.08.2025 04:15;28.08.2025 04:30;-;200,000;-;-;-
