Datum von;Datum bis;Generation_DE KW 3 GT31 [MW] Berechnete Auflösungen;Generation_DE BHKW KW5 5A [MW] Berechnete Auflösungen;Generation_DE BHKW KW5 54 [MW] Berechnete Auflösungen;Generation_DE BHKW KW5 56 [MW] Berechnete Auflösungen;Generation_DE BHKW KW5 59 [MW] Berechnete Auflösungen;Generation_DE BHKW KW5 51 [MW] Berechnete Auflösungen;Generation_DE BHKW KW5 53 [MW] Berechnete Auflösungen;Generation_DE BHKW KW5 58 [MW] Berechnete Auflösungen;Generation_DE KW2 DT27 [MW] Berechnete Auflösungen;Generation_DE BHKW KW5 55 [MW] Berechnete Auflösungen;Generation_DE KW2 GT26 [MW] Berechnete Auflösungen;Generation_DE BHKW KW5 52 [MW] Berechnete Auflösungen;Generation_DE KW3 DT32 [MW] Berechnete Auflösungen;Generation_DE BHKW KW5 57 [MW] Berechnete Auflösungen
27.08.2025 11:00;27.08.2025 11:15;72,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 11:15;27.08.2025 11:30;72,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 11:30;27.08.2025 11:45;72,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 11:45;27.08.2025 12:00;72,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 12:00;27.08.2025 12:15;64,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 12:15;27.08.2025 12:30;64,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 12:30;27.08.2025 12:45;64,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 12:45;27.08.2025 13:00;64,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 13:00;27.08.2025 13:15;58,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 13:15;27.08.2025 13:30;58,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 13:30;27.08.2025 13:45;58,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 13:45;27.08.2025 14:00;58,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 14:00;27.08.2025 14:15;68,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 14:15;27.08.2025 14:30;68,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 14:30;27.08.2025 14:45;68,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 14:45;27.08.2025 15:00;68,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 15:00;27.08.2025 15:15;71,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 15:15;27.08.2025 15:30;71,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 15:30;27.08.2025 15:45;71,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 15:45;27.08.2025 16:00;71,750;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 16:00;27.08.2025 16:15;82,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 16:15;27.08.2025 16:30;82,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 16:30;27.08.2025 16:45;82,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 16:45;27.08.2025 17:00;82,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 17:00;27.08.2025 17:15;90,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 17:15;27.08.2025 17:30;90,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 17:30;27.08.2025 17:45;90,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 17:45;27.08.2025 18:00;90,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 18:00;27.08.2025 18:15;92,250;1,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 18:15;27.08.2025 18:30;92,250;1,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 18:30;27.08.2025 18:45;92,250;1,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 18:45;27.08.2025 19:00;92,250;1,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 19:00;27.08.2025 19:15;98,250;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 19:15;27.08.2025 19:30;98,250;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 19:30;27.08.2025 19:45;98,250;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 19:45;27.08.2025 20:00;98,250;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 20:00;27.08.2025 20:15;99,250;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 20:15;27.08.2025 20:30;99,250;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 20:30;27.08.2025 20:45;99,250;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 20:45;27.08.2025 21:00;99,250;2,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 21:00;27.08.2025 21:15;95,500;1,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 21:15;27.08.2025 21:30;95,500;1,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 21:30;27.08.2025 21:45;95,500;1,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 21:45;27.08.2025 22:00;95,500;1,250;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 22:00;27.08.2025 22:15;92,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 22:15;27.08.2025 22:30;92,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 22:30;27.08.2025 22:45;92,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 22:45;27.08.2025 23:00;92,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 23:00;27.08.2025 23:15;92,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 23:15;27.08.2025 23:30;92,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 23:30;27.08.2025 23:45;92,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
27.08.2025 23:45;28.08.2025 00:00;92,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
28.08.2025 00:00;28.08.2025 00:15;93,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
28.08.2025 00:15;28.08.2025 00:30;93,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
28.08.2025 00:30;28.08.2025 00:45;93,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
28.08.2025 00:45;28.08.2025 01:00;93,250;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
28.08.2025 01:00;28.08.2025 01:15;99,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
28.08.2025 01:15;28.08.2025 01:30;99,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
28.08.2025 01:30;28.08.2025 01:45;99,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
28.08.2025 01:45;28.08.2025 02:00;99,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
28.08.2025 02:00;28.08.2025 02:15;92,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
28.08.2025 02:15;28.08.2025 02:30;92,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
28.08.2025 02:30;28.08.2025 02:45;92,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
28.08.2025 02:45;28.08.2025 03:00;92,000;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
28.08.2025 03:00;28.08.2025 03:15;91,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
28.08.2025 03:15;28.08.2025 03:30;91,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
28.08.2025 03:30;28.08.2025 03:45;91,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
28.08.2025 03:45;28.08.2025 04:00;91,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
28.08.2025 04:00;28.08.2025 04:15;96,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
28.08.2025 04:15;28.08.2025 04:30;96,500;0,000;-;-;-;-;-;-;0,000;-;0,000;-;-;-
