Datum von;Datum bis;Generation_DE Neurath C [MW] Berechnete Auflösungen;Generation_DE Neurath D [MW] Berechnete Auflösungen;Generation_DE Neurath E [MW] Berechnete Auflösungen;Generation_DE Neurath F [MW] Berechnete Auflösungen;Generation_DE Neurath G [MW] Berechnete Auflösungen;Generation_DE Neurath A [MW] Berechnete Auflösungen;Generation_DE Neurath B [MW] Berechnete Auflösungen;Generation_DE Batteriespeicher Neurath [MW] Berechnete Auflösungen
28.08.2025 15:30;28.08.2025 15:45;-;-;-;253,250;261,500;-;-;-
28.08.2025 15:45;28.08.2025 16:00;-;-;-;253,250;261,500;-;-;-
28.08.2025 16:00;28.08.2025 16:15;-;-;-;252,500;260,750;-;-;-
28.08.2025 16:15;28.08.2025 16:30;-;-;-;252,500;260,750;-;-;-
28.08.2025 16:30;28.08.2025 16:45;-;-;-;252,500;260,750;-;-;-
28.08.2025 16:45;28.08.2025 17:00;-;-;-;252,500;260,750;-;-;-
28.08.2025 17:00;28.08.2025 17:15;-;-;-;252,000;262,000;-;-;-
28.08.2025 17:15;28.08.2025 17:30;-;-;-;252,000;262,000;-;-;-
28.08.2025 17:30;28.08.2025 17:45;-;-;-;252,000;262,000;-;-;-
28.08.2025 17:45;28.08.2025 18:00;-;-;-;252,000;262,000;-;-;-
28.08.2025 18:00;28.08.2025 18:15;-;-;-;253,500;261,250;-;-;-
28.08.2025 18:15;28.08.2025 18:30;-;-;-;253,500;261,250;-;-;-
28.08.2025 18:30;28.08.2025 18:45;-;-;-;253,500;261,250;-;-;-
28.08.2025 18:45;28.08.2025 19:00;-;-;-;253,500;261,250;-;-;-
28.08.2025 19:00;28.08.2025 19:15;-;-;-;253,250;262,250;-;-;-
28.08.2025 19:15;28.08.2025 19:30;-;-;-;253,250;262,250;-;-;-
28.08.2025 19:30;28.08.2025 19:45;-;-;-;253,250;262,250;-;-;-
28.08.2025 19:45;28.08.2025 20:00;-;-;-;253,250;262,250;-;-;-
28.08.2025 20:00;28.08.2025 20:15;-;-;-;255,250;263,750;-;-;-
28.08.2025 20:15;28.08.2025 20:30;-;-;-;255,250;263,750;-;-;-
28.08.2025 20:30;28.08.2025 20:45;-;-;-;255,250;263,750;-;-;-
28.08.2025 20:45;28.08.2025 21:00;-;-;-;255,250;263,750;-;-;-
28.08.2025 21:00;28.08.2025 21:15;-;-;-;254,250;262,750;-;-;-
28.08.2025 21:15;28.08.2025 21:30;-;-;-;254,250;262,750;-;-;-
28.08.2025 21:30;28.08.2025 21:45;-;-;-;254,250;262,750;-;-;-
28.08.2025 21:45;28.08.2025 22:00;-;-;-;254,250;262,750;-;-;-
28.08.2025 22:00;28.08.2025 22:15;-;-;-;255,500;263,000;-;-;-
28.08.2025 22:15;28.08.2025 22:30;-;-;-;255,500;263,000;-;-;-
28.08.2025 22:30;28.08.2025 22:45;-;-;-;255,500;263,000;-;-;-
28.08.2025 22:45;28.08.2025 23:00;-;-;-;255,500;263,000;-;-;-
28.08.2025 23:00;28.08.2025 23:15;-;-;-;256,250;262,000;-;-;-
28.08.2025 23:15;28.08.2025 23:30;-;-;-;256,250;262,000;-;-;-
28.08.2025 23:30;28.08.2025 23:45;-;-;-;256,250;262,000;-;-;-
28.08.2025 23:45;29.08.2025 00:00;-;-;-;256,250;262,000;-;-;-
29.08.2025 00:00;29.08.2025 00:15;-;-;-;255,000;261,750;-;-;-
29.08.2025 00:15;29.08.2025 00:30;-;-;-;255,000;261,750;-;-;-
29.08.2025 00:30;29.08.2025 00:45;-;-;-;255,000;261,750;-;-;-
29.08.2025 00:45;29.08.2025 01:00;-;-;-;255,000;261,750;-;-;-
29.08.2025 01:00;29.08.2025 01:15;-;-;-;255,500;263,750;-;-;-
29.08.2025 01:15;29.08.2025 01:30;-;-;-;255,500;263,750;-;-;-
29.08.2025 01:30;29.08.2025 01:45;-;-;-;255,500;263,750;-;-;-
29.08.2025 01:45;29.08.2025 02:00;-;-;-;255,500;263,750;-;-;-
29.08.2025 02:00;29.08.2025 02:15;-;-;-;255,250;262,000;-;-;-
29.08.2025 02:15;29.08.2025 02:30;-;-;-;255,250;262,000;-;-;-
29.08.2025 02:30;29.08.2025 02:45;-;-;-;255,250;262,000;-;-;-
29.08.2025 02:45;29.08.2025 03:00;-;-;-;255,250;262,000;-;-;-
29.08.2025 03:00;29.08.2025 03:15;-;-;-;254,750;264,750;-;-;-
29.08.2025 03:15;29.08.2025 03:30;-;-;-;254,750;264,750;-;-;-
29.08.2025 03:30;29.08.2025 03:45;-;-;-;254,750;264,750;-;-;-
29.08.2025 03:45;29.08.2025 04:00;-;-;-;254,750;264,750;-;-;-
29.08.2025 04:00;29.08.2025 04:15;-;-;-;256,250;265,000;-;-;-
