Datum von;Datum bis;Generation_DE GuD 3 [MW] Berechnete Auflösungen;Generation_DE DT 2 [MW] Berechnete Auflösungen;Generation_DE GT 2 [MW] Berechnete Auflösungen
29.08.2025 10:30;29.08.2025 10:45;33,250;0,000;0,000
29.08.2025 10:45;29.08.2025 11:00;33,250;0,000;0,000
29.08.2025 11:00;29.08.2025 11:15;28,000;0,000;0,000
29.08.2025 11:15;29.08.2025 11:30;28,000;0,000;0,000
29.08.2025 11:30;29.08.2025 11:45;28,000;0,000;0,000
29.08.2025 11:45;29.08.2025 12:00;28,000;0,000;0,000
29.08.2025 12:00;29.08.2025 12:15;27,000;0,000;0,000
29.08.2025 12:15;29.08.2025 12:30;27,000;0,000;0,000
29.08.2025 12:30;29.08.2025 12:45;27,000;0,000;0,000
29.08.2025 12:45;29.08.2025 13:00;27,000;0,000;0,000
29.08.2025 13:00;29.08.2025 13:15;27,750;0,000;0,000
29.08.2025 13:15;29.08.2025 13:30;27,750;0,000;0,000
29.08.2025 13:30;29.08.2025 13:45;27,750;0,000;0,000
29.08.2025 13:45;29.08.2025 14:00;27,750;0,000;0,000
29.08.2025 14:00;29.08.2025 14:15;28,000;0,000;0,000
29.08.2025 14:15;29.08.2025 14:30;28,000;0,000;0,000
29.08.2025 14:30;29.08.2025 14:45;28,000;0,000;0,000
29.08.2025 14:45;29.08.2025 15:00;28,000;0,000;0,000
29.08.2025 15:00;29.08.2025 15:15;29,250;0,000;0,000
29.08.2025 15:15;29.08.2025 15:30;29,250;0,000;0,000
29.08.2025 15:30;29.08.2025 15:45;29,250;0,000;0,000
29.08.2025 15:45;29.08.2025 16:00;29,250;0,000;0,000
29.08.2025 16:00;29.08.2025 16:15;69,750;0,000;0,000
29.08.2025 16:15;29.08.2025 16:30;69,750;0,000;0,000
29.08.2025 16:30;29.08.2025 16:45;69,750;0,000;0,000
29.08.2025 16:45;29.08.2025 17:00;69,750;0,000;0,000
29.08.2025 17:00;29.08.2025 17:15;102,000;0,000;0,000
29.08.2025 17:15;29.08.2025 17:30;102,000;0,000;0,000
29.08.2025 17:30;29.08.2025 17:45;102,000;0,000;0,000
29.08.2025 17:45;29.08.2025 18:00;102,000;0,000;0,000
29.08.2025 18:00;29.08.2025 18:15;104,000;0,000;0,000
29.08.2025 18:15;29.08.2025 18:30;104,000;0,000;0,000
29.08.2025 18:30;29.08.2025 18:45;104,000;0,000;0,000
29.08.2025 18:45;29.08.2025 19:00;104,000;0,000;0,000
29.08.2025 19:00;29.08.2025 19:15;104,000;0,000;0,000
29.08.2025 19:15;29.08.2025 19:30;104,000;0,000;0,000
29.08.2025 19:30;29.08.2025 19:45;104,000;0,000;0,000
29.08.2025 19:45;29.08.2025 20:00;104,000;0,000;0,000
29.08.2025 20:00;29.08.2025 20:15;104,500;0,000;0,000
29.08.2025 20:15;29.08.2025 20:30;104,500;0,000;0,000
29.08.2025 20:30;29.08.2025 20:45;104,500;0,000;0,000
29.08.2025 20:45;29.08.2025 21:00;104,500;0,000;0,000
29.08.2025 21:00;29.08.2025 21:15;104,750;0,000;0,000
29.08.2025 21:15;29.08.2025 21:30;104,750;0,000;0,000
29.08.2025 21:30;29.08.2025 21:45;104,750;0,000;0,000
29.08.2025 21:45;29.08.2025 22:00;104,750;0,000;0,000
29.08.2025 22:00;29.08.2025 22:15;105,000;0,000;0,000
29.08.2025 22:15;29.08.2025 22:30;105,000;0,000;0,000
29.08.2025 22:30;29.08.2025 22:45;105,000;0,000;0,000
29.08.2025 22:45;29.08.2025 23:00;105,000;0,000;0,000
29.08.2025 23:00;29.08.2025 23:15;105,000;0,000;0,000
29.08.2025 23:15;29.08.2025 23:30;105,000;0,000;0,000
29.08.2025 23:30;29.08.2025 23:45;105,000;0,000;0,000
29.08.2025 23:45;30.08.2025 00:00;105,000;0,000;0,000
30.08.2025 00:00;30.08.2025 00:15;105,000;0,000;0,000
