Datum von;Datum bis;Generation_DE Block A [MW] Berechnete Auflösungen
29.08.2025 14:15;29.08.2025 14:30;0,000
29.08.2025 14:30;29.08.2025 14:45;0,000
29.08.2025 14:45;29.08.2025 15:00;0,000
29.08.2025 15:00;29.08.2025 15:15;0,000
29.08.2025 15:15;29.08.2025 15:30;0,000
29.08.2025 15:30;29.08.2025 15:45;0,000
29.08.2025 15:45;29.08.2025 16:00;0,000
29.08.2025 16:00;29.08.2025 16:15;9,000
29.08.2025 16:15;29.08.2025 16:30;9,000
29.08.2025 16:30;29.08.2025 16:45;9,000
29.08.2025 16:45;29.08.2025 17:00;9,000
29.08.2025 17:00;29.08.2025 17:15;66,250
29.08.2025 17:15;29.08.2025 17:30;66,250
29.08.2025 17:30;29.08.2025 17:45;66,250
29.08.2025 17:45;29.08.2025 18:00;66,250
29.08.2025 18:00;29.08.2025 18:15;109,500
29.08.2025 18:15;29.08.2025 18:30;109,500
29.08.2025 18:30;29.08.2025 18:45;109,500
29.08.2025 18:45;29.08.2025 19:00;109,500
29.08.2025 19:00;29.08.2025 19:15;121,750
29.08.2025 19:15;29.08.2025 19:30;121,750
29.08.2025 19:30;29.08.2025 19:45;121,750
29.08.2025 19:45;29.08.2025 20:00;121,750
29.08.2025 20:00;29.08.2025 20:15;123,000
29.08.2025 20:15;29.08.2025 20:30;123,000
29.08.2025 20:30;29.08.2025 20:45;123,000
29.08.2025 20:45;29.08.2025 21:00;123,000
29.08.2025 21:00;29.08.2025 21:15;122,750
29.08.2025 21:15;29.08.2025 21:30;122,750
29.08.2025 21:30;29.08.2025 21:45;122,750
29.08.2025 21:45;29.08.2025 22:00;122,750
29.08.2025 22:00;29.08.2025 22:15;122,250
29.08.2025 22:15;29.08.2025 22:30;122,250
29.08.2025 22:30;29.08.2025 22:45;122,250
29.08.2025 22:45;29.08.2025 23:00;122,250
29.08.2025 23:00;29.08.2025 23:15;121,750
29.08.2025 23:15;29.08.2025 23:30;121,750
29.08.2025 23:30;29.08.2025 23:45;121,750
29.08.2025 23:45;30.08.2025 00:00;121,750
30.08.2025 00:00;30.08.2025 00:15;122,750
30.08.2025 00:15;30.08.2025 00:30;122,750
30.08.2025 00:30;30.08.2025 00:45;122,750
30.08.2025 00:45;30.08.2025 01:00;122,750
30.08.2025 01:00;30.08.2025 01:15;123,500
30.08.2025 01:15;30.08.2025 01:30;123,500
30.08.2025 01:30;30.08.2025 01:45;123,500
30.08.2025 01:45;30.08.2025 02:00;123,500
30.08.2025 02:00;30.08.2025 02:15;123,750
30.08.2025 02:15;30.08.2025 02:30;123,750
30.08.2025 02:30;30.08.2025 02:45;123,750
30.08.2025 02:45;30.08.2025 03:00;123,750
30.08.2025 03:00;30.08.2025 03:15;124,750
30.08.2025 03:15;30.08.2025 03:30;124,750
30.08.2025 03:30;30.08.2025 03:45;124,750
30.08.2025 03:45;30.08.2025 04:00;124,750
30.08.2025 04:00;30.08.2025 04:15;125,750
30.08.2025 04:15;30.08.2025 04:30;125,750
30.08.2025 04:30;30.08.2025 04:45;125,750
30.08.2025 04:45;30.08.2025 05:00;125,750
30.08.2025 05:00;30.08.2025 05:15;125,500
30.08.2025 05:15;30.08.2025 05:30;125,500
30.08.2025 05:30;30.08.2025 05:45;125,500
30.08.2025 05:45;30.08.2025 06:00;125,500
30.08.2025 06:00;30.08.2025 06:15;126,000
30.08.2025 06:15;30.08.2025 06:30;126,000
30.08.2025 06:30;30.08.2025 06:45;126,000
30.08.2025 06:45;30.08.2025 07:00;126,000
30.08.2025 07:00;30.08.2025 07:15;126,000
30.08.2025 07:15;30.08.2025 07:30;126,000
30.08.2025 07:30;30.08.2025 07:45;126,000
30.08.2025 07:45;30.08.2025 08:00;126,000
30.08.2025 08:00;30.08.2025 08:15;89,500
30.08.2025 08:15;30.08.2025 08:30;89,500
30.08.2025 08:30;30.08.2025 08:45;89,500
30.08.2025 08:45;30.08.2025 09:00;89,500
30.08.2025 09:00;30.08.2025 09:15;30,250
30.08.2025 09:15;30.08.2025 09:30;30,250
30.08.2025 09:30;30.08.2025 09:45;30,250
30.08.2025 09:45;30.08.2025 10:00;30,250
30.08.2025 10:00;30.08.2025 10:15;0,000
30.08.2025 10:15;30.08.2025 10:30;0,000
30.08.2025 10:30;30.08.2025 10:45;0,000
30.08.2025 10:45;30.08.2025 11:00;0,000
30.08.2025 11:00;30.08.2025 11:15;0,000
30.08.2025 11:15;30.08.2025 11:30;0,000
30.08.2025 11:30;30.08.2025 11:45;0,000
30.08.2025 11:45;30.08.2025 12:00;0,000
30.08.2025 12:00;30.08.2025 12:15;0,000
30.08.2025 12:15;30.08.2025 12:30;0,000
30.08.2025 12:30;30.08.2025 12:45;0,000
30.08.2025 12:45;30.08.2025 13:00;0,000
30.08.2025 13:00;30.08.2025 13:15;0,000
30.08.2025 13:15;30.08.2025 13:30;0,000
30.08.2025 13:30;30.08.2025 13:45;0,000
30.08.2025 13:45;30.08.2025 14:00;0,000
