Datum von;Datum bis;Generation_DE Block N [MW] Berechnete Auflösungen;Generation_DE Block R [MW] Berechnete Auflösungen;Generation_DE Block P [MW] Berechnete Auflösungen;Generation_DE Block Q [MW] Berechnete Auflösungen
27.08.2025 20:45;27.08.2025 21:00;0,000;0,000;32,000;201,750
27.08.2025 21:00;27.08.2025 21:15;0,000;0,000;32,500;201,250
27.08.2025 21:15;27.08.2025 21:30;0,000;0,000;32,500;201,250
27.08.2025 21:30;27.08.2025 21:45;0,000;0,000;32,500;201,250
27.08.2025 21:45;27.08.2025 22:00;0,000;0,000;32,500;201,250
27.08.2025 22:00;27.08.2025 22:15;0,000;0,000;33,000;198,750
27.08.2025 22:15;27.08.2025 22:30;0,000;0,000;33,000;198,750
27.08.2025 22:30;27.08.2025 22:45;0,000;0,000;33,000;198,750
27.08.2025 22:45;27.08.2025 23:00;0,000;0,000;33,000;198,750
27.08.2025 23:00;27.08.2025 23:15;0,000;0,000;34,750;190,250
27.08.2025 23:15;27.08.2025 23:30;0,000;0,000;34,750;190,250
27.08.2025 23:30;27.08.2025 23:45;0,000;0,000;34,750;190,250
27.08.2025 23:45;28.08.2025 00:00;0,000;0,000;34,750;190,250
28.08.2025 00:00;28.08.2025 00:15;0,000;0,000;36,750;202,000
28.08.2025 00:15;28.08.2025 00:30;0,000;0,000;36,750;202,000
28.08.2025 00:30;28.08.2025 00:45;0,000;0,000;36,750;202,000
28.08.2025 00:45;28.08.2025 01:00;0,000;0,000;36,750;202,000
28.08.2025 01:00;28.08.2025 01:15;0,000;0,000;35,250;201,750
28.08.2025 01:15;28.08.2025 01:30;0,000;0,000;35,250;201,750
28.08.2025 01:30;28.08.2025 01:45;0,000;0,000;35,250;201,750
28.08.2025 01:45;28.08.2025 02:00;0,000;0,000;35,250;201,750
28.08.2025 02:00;28.08.2025 02:15;0,000;0,000;35,250;201,250
28.08.2025 02:15;28.08.2025 02:30;0,000;0,000;35,250;201,250
28.08.2025 02:30;28.08.2025 02:45;0,000;0,000;35,250;201,250
28.08.2025 02:45;28.08.2025 03:00;0,000;0,000;35,250;201,250
28.08.2025 03:00;28.08.2025 03:15;0,000;0,000;37,000;202,000
28.08.2025 03:15;28.08.2025 03:30;0,000;0,000;37,000;202,000
28.08.2025 03:30;28.08.2025 03:45;0,000;0,000;37,000;202,000
28.08.2025 03:45;28.08.2025 04:00;0,000;0,000;37,000;202,000
28.08.2025 04:00;28.08.2025 04:15;0,000;0,000;37,250;201,250
28.08.2025 04:15;28.08.2025 04:30;0,000;0,000;37,250;201,250
28.08.2025 04:30;28.08.2025 04:45;0,000;0,000;37,250;201,250
28.08.2025 04:45;28.08.2025 05:00;0,000;0,000;37,250;201,250
28.08.2025 05:00;28.08.2025 05:15;0,000;0,000;41,000;201,500
28.08.2025 05:15;28.08.2025 05:30;0,000;0,000;41,000;201,500
28.08.2025 05:30;28.08.2025 05:45;0,000;0,000;41,000;201,500
28.08.2025 05:45;28.08.2025 06:00;0,000;0,000;41,000;201,500
28.08.2025 06:00;28.08.2025 06:15;0,000;0,000;39,750;199,250
28.08.2025 06:15;28.08.2025 06:30;0,000;0,000;39,750;199,250
28.08.2025 06:30;28.08.2025 06:45;0,000;0,000;39,750;199,250
28.08.2025 06:45;28.08.2025 07:00;0,000;0,000;39,750;199,250
28.08.2025 07:00;28.08.2025 07:15;0,000;0,000;40,000;200,750
28.08.2025 07:15;28.08.2025 07:30;0,000;0,000;40,000;200,750
28.08.2025 07:30;28.08.2025 07:45;0,000;0,000;40,000;200,750
28.08.2025 07:45;28.08.2025 08:00;0,000;0,000;40,000;200,750
28.08.2025 08:00;28.08.2025 08:15;0,000;0,000;40,000;202,500
28.08.2025 08:15;28.08.2025 08:30;0,000;0,000;40,000;202,500
28.08.2025 08:30;28.08.2025 08:45;0,000;0,000;40,000;202,500
28.08.2025 08:45;28.08.2025 09:00;0,000;0,000;40,000;202,500
28.08.2025 09:00;28.08.2025 09:15;0,000;0,000;43,250;202,750
28.08.2025 09:15;28.08.2025 09:30;0,000;0,000;43,250;202,750
28.08.2025 09:30;28.08.2025 09:45;0,000;0,000;43,250;202,750
